brand_name,model_name,os,popularity,best_price,lowest_price,,,,,,
Honor,9i 4/64GB Blue,Android,216,4009,,,,,,,
Honor,9i 4/64GB Blue,Android,180,4009,,,,,,,
Honor,9x 4/128GB Black,Android,1048,5599,4999,,,,,,
Ulefone,A1 Dual Black,,83,817,755,,,,,,
Ulefone,A1 Dual Gold,,384,834,719,,,,,,
Ulefone,A1 Silver,,440,805,691,,,,,,
AGM,A10 6/128GB Black,Android,2,5628,5297,,,,,,
OPPO,A12 3/32GB Black,Android,1024,3520,3375,,,,,,
OPPO,A12 4/64GB Blue,Android,705,3949,3799,,,,,,
Astro,A144 Black/Red,,519,214,199,,,,,,
Astro,A167 Black/Red,,172,599,,,,,,,
Astro,A167 Black/Red,,208,599,,,,,,,
Astro,A167 Black/Red,,221,599,,,,,,,
Astro,A169 Black Gray,,11,399,,,,,,,
Rezone,A170 Point Black,,411,252,220,,,,,,
Rezone,A170 Point Black,,401,252,220,,,,,,
Rezone,A170 Point Dark Blue,,106,252,220,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
